languge,age,participant,pronoun,share
ger,28.066666666666666,ADU,1sg,0.029980657640232108
ger,28.066666666666666,CHI,1sg,0.08732394366197183
ger,28.1,ADU,1sg,0.03753127606338615
ger,28.1,CHI,1sg,0.07644305772230889
ger,28.2,ADU,1sg,0.011904761904761904
ger,28.2,CHI,1sg,0.010869565217391304
ger,28.233333333333334,ADU,1sg,0.02729044834307992
ger,28.233333333333334,CHI,1sg,0.0407673860911271
ger,28.266666666666666,ADU,1sg,0.024761904761904763
ger,28.266666666666666,CHI,1sg,0.039301310043668124
ger,28.366666666666667,ADU,1sg,0.03935185185185185
ger,28.366666666666667,CHI,1sg,0.07142857142857142
ger,28.433333333333334,ADU,1sg,0.030042918454935622
ger,28.433333333333334,CHI,1sg,0.029925187032418952
ger,28.533333333333335,ADU,1sg,0.0323846908734053
ger,28.533333333333335,CHI,1sg,0.05772811918063315
ger,28.566666666666666,ADU,1sg,0.030037546933667083
ger,28.566666666666666,CHI,1sg,0.024017467248908297
ger,28.6,ADU,1sg,0.026888604353393086
ger,28.6,CHI,1sg,0.025380710659898477
ger,28.666666666666668,ADU,1sg,0
ger,28.666666666666668,ADU,1sg,0.011730205278592375
ger,28.666666666666668,CHI,1sg,0.026912181303116147
ger,28.733333333333334,ADU,1sg,0.023255813953488372
ger,28.733333333333334,CHI,1sg,0.045454545454545456
ger,28.766666666666666,ADU,1sg,0.054527750730282376
ger,28.766666666666666,CHI,1sg,0.05357142857142857
ger,28.8,ADU,1sg,0.024531024531024532
ger,28.8,CHI,1sg,0.047706422018348627
ger,28.866666666666667,ADU,1sg,0.029239766081871343
ger,28.866666666666667,CHI,1sg,0.06666666666666667
ger,28.933333333333334,ADU,1sg,0.014492753623188406
ger,28.933333333333334,CHI,1sg,0.03208556149732621
ger,29.033333333333335,ADU,1sg,0.03394833948339483
ger,29.033333333333335,CHI,1sg,0.04816955684007707
ger,29.266666666666666,ADU,1sg,0.042833607907743
ger,29.266666666666666,CHI,1sg,0.03821656050955414
ger,29.3,ADU,1sg,0.023633677991137372
ger,29.3,CHI,1sg,0.02981651376146789
ger,29.633333333333333,ADU,1sg,0.03566333808844508
ger,29.633333333333333,CHI,1sg,0.034227567067530065
ger,29.666666666666668,ADU,1sg,0.03133047210300429
ger,29.666666666666668,CHI,1sg,0.04904051172707889
ger,29.7,ADU,1sg,0.054441260744985676
ger,29.7,CHI,1sg,0.09003215434083602
ger,29.766666666666666,ADU,1sg,0.06692913385826772
ger,29.766666666666666,CHI,1sg,0.05113636363636364
ger,29.8,ADU,1sg,0.03690036900369004
ger,29.8,CHI,1sg,0.05536912751677853
ger,29.833333333333332,ADU,1sg,0.02711323763955343
ger,29.833333333333332,CHI,1sg,0.05697151424287856
ger,29.866666666666667,ADU,1sg,0.042268041237113405
ger,29.866666666666667,CHI,1sg,0.04638218923933209
ger,29.933333333333334,ADU,1sg,0.04145077720207254
ger,29.933333333333334,CHI,1sg,0.059907834101382486
ger,29.966666666666665,ADU,1sg,0.040983606557377046
ger,29.966666666666665,CHI,1sg,0.25
ger,30,ADU,1sg,0.039048633297834576
ger,30,CHI,1sg,0.04957187922487607
ger,30,ADU,1sg,0
ger,30,ADU,1sg,0.029574861367837338
ger,30,CHI,1sg,0.036926147704590816
ger,30.066666666666666,ADU,1sg,0.02584493041749503
ger,30.066666666666666,CHI,1sg,0.025806451612903226
ger,30.4,ADU,1sg,0
ger,30.4,ADU,1sg,0.036293436293436294
ger,30.4,CHI,1sg,0.03503184713375796
ger,30.433333333333334,ADU,1sg,0.046583850931677016
ger,30.433333333333334,CHI,1sg,0.06480558325024925
ger,30.466666666666665,ADU,1sg,0.06878306878306878
ger,30.466666666666665,CHI,1sg,0.12048192771084337
ger,30.5,ADU,1sg,0.035182679296346414
ger,30.5,CHI,1sg,0.04951560818083961
ger,30.533333333333335,ADU,1sg,0.016861219195849545
ger,30.533333333333335,CHI,1sg,0.043343653250773995
ger,30.6,ADU,1sg,0.03980099502487562
ger,30.6,CHI,1sg,0.06981981981981981
ger,30.633333333333333,ADU,1sg,0.015625
ger,30.633333333333333,CHI,1sg,0.008849557522123894
ger,30.666666666666668,ADU,1sg,0.07054673721340388
ger,30.666666666666668,CHI,1sg,0.10211267605633803
ger,30.733333333333334,ADU,1sg,0.030624263839811542
ger,30.733333333333334,CHI,1sg,0.04742268041237113
ger,30.766666666666666,ADU,1sg,0.057291666666666664
ger,30.766666666666666,CHI,1sg,0.102803738317757
ger,30.8,ADU,1sg,0.02446256486286138
ger,30.8,CHI,1sg,0.03258426966292135
ger,30.933333333333334,ADU,1sg,0.029490616621983913
ger,30.933333333333334,CHI,1sg,0.055445544554455446
ger,31,ADU,1sg,0.036783575705731396
ger,31,CHI,1sg,0.04979253112033195
ger,31.033333333333335,ADU,1sg,0.04295704295704296
ger,31.033333333333335,CHI,1sg,0.04670912951167728
ger,31.066666666666666,ADU,1sg,0.02425876010781671
ger,31.066666666666666,CHI,1sg,0.033766233766233764
ger,31.1,ADU,1sg,0.02530120481927711
ger,31.1,CHI,1sg,0.02669902912621359
ger,31.133333333333333,ADU,1sg,0.06140350877192982
ger,31.133333333333333,CHI,1sg,0.07692307692307693
ger,31.166666666666668,ADU,1sg,0.03372681281618887
ger,31.166666666666668,CHI,1sg,0.04710144927536232
ger,31.266666666666666,ADU,1sg,0.3333333333333333
ger,31.266666666666666,ADU,1sg,0.037321063394683024
ger,31.266666666666666,CHI,1sg,0.05969049373618276
ger,31.3,ADU,1sg,0.049531459170013385
ger,31.3,CHI,1sg,0.05370843989769821
ger,31.333333333333332,ADU,1sg,0.048407643312101914
ger,31.333333333333332,CHI,1sg,0.06840891621829362
ger,31.433333333333334,ADU,1sg,0
ger,31.433333333333334,ADU,1sg,0.022727272727272728
ger,31.433333333333334,CHI,1sg,0.05263157894736842
ger,31.466666666666665,ADU,1sg,0.07090103397341212
ger,31.466666666666665,CHI,1sg,0.07766990291262135
ger,31.533333333333335,ADU,1sg,0.043434343434343436
ger,31.533333333333335,CHI,1sg,0.03857566765578635
ger,31.566666666666666,ADU,1sg,0.030193236714975844
ger,31.566666666666666,CHI,1sg,0.0525164113785558
ger,31.633333333333333,ADU,1sg,0.052884615384615384
ger,31.633333333333333,CHI,1sg,0.05660377358490566
ger,31.733333333333334,ADU,1sg,0.02100840336134454
ger,31.733333333333334,CHI,1sg,0.07142857142857142
ger,31.766666666666666,ADU,1sg,0.02031063321385902
ger,31.766666666666666,CHI,1sg,0.041237113402061855
ger,31.833333333333332,ADU,1sg,0.04695652173913043
ger,31.833333333333332,CHI,1sg,0.05811138014527845
ger,31.866666666666667,ADU,1sg,0.05514705882352941
ger,31.866666666666667,CHI,1sg,0.07301587301587302
ger,31.9,ADU,1sg,0.04153354632587859
ger,31.9,CHI,1sg,0.049889948642699924
ger,32,ADU,1sg,0.03555045871559633
ger,32,CHI,1sg,0.05454545454545454
ger,32.03333333333333,ADU,1sg,0.020202020202020204
ger,32.03333333333333,CHI,1sg,0.043859649122807015
ger,32.06666666666667,ADU,1sg,0.014893617021276596
ger,32.06666666666667,CHI,1sg,0.029411764705882353
ger,32.2,ADU,1sg,0.051756007393715345
ger,32.2,CHI,1sg,0.05226130653266332
ger,32.233333333333334,ADU,1sg,0.07537688442211055
ger,32.233333333333334,CHI,1sg,0.042316258351893093
ger,32.266666666666666,ADU,1sg,0.09090909090909091
ger,32.266666666666666,ADU,1sg,0.044905008635578586
ger,32.266666666666666,CHI,1sg,0.047619047619047616
ger,32.3,ADU,1sg,0.0627177700348432
ger,32.3,CHI,1sg,0.05631868131868132
ger,32.36666666666667,ADU,1sg,0.0975609756097561
ger,32.36666666666667,CHI,1sg,0.13636363636363635
ger,32.43333333333333,ADU,1sg,0.050505050505050504
ger,32.43333333333333,CHI,1sg,0.05263157894736842
ger,32.46666666666667,ADU,1sg,0.01926040061633282
ger,32.46666666666667,CHI,1sg,0.04146730462519936
ger,32.5,ADU,1sg,0.056
