"","path","filename","languge","childname","participant","pronoun","24","25","26","27","28","29","30","31","32","33","34","35"
"27","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339805825242718,NA,NA
"28","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098705501618123,NA,NA
"29","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00323624595469256,NA,NA
"30","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226537216828479,NA,NA
"31","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113268608414239,NA,NA
"32","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020912.cha","020912.cha","eng","Barbara","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0614886731391586,NA,NA
"33","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00448430493273543,NA
"34","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224215246636771,NA
"35","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0852017937219731,NA
"36","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282511210762332,NA
"37","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0852017937219731,NA
